Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;;
3546108;Interior;Santa Clara d'Oeste;515;22;;;
3546207;Interior;Santa Cruz da Conceição;1942;17;;;
3546256;Interior;Santa Cruz da Esperança;202;7;;;
3546306;Interior;Santa Cruz das Palmeiras;5585;139;;;
3546405;Interior;Santa Cruz do Rio Pardo;8775;206;;;
3546504;Interior;Santa Ernestina;553;21;;;
3546603;Interior;Santa Fé do Sul;9087;165;;;
3546702;Interior;Santa Gertrudes;3939;87;;;
3546801;RMSP (exceto capital);Santa Isabel;7792;297;;;
3546900;Interior;Santa Lúcia;781;25;;;
3547007;Interior;Santa Maria da Serra;1341;12;;;
3547106;Interior;Santa Mercedes;817;11;;;
3547205;Interior;Santana da Ponte Pensa;518;6;;;
3547304;RMSP (exceto capital);Santana de Parnaíba;24697;438;;;
3547403;Interior;Santa Rita d'Oeste;439;15;;;
3547502;Interior;Santa Rita do Passa Quatro;1823;47;;;
3547601;Interior;Santa Rosa de Viterbo;2494;57;;;
3547650;Interior;Santa Salete;623;8;;;
3547700;Interior;Santo Anastácio;3692;72;;;
3547809;RMSP (exceto capital);Santo André;93936;3496;;;
3547908;Interior;Santo Antônio da Alegria;541;23;;;
3548005;Interior;Santo Antônio de Posse;4687;67;;;
3548054;Interior;Santo Antônio do Aracanguá;591;39;;;
3548104;Interior;Santo Antônio do Jardim;1311;25;;;
3548203;Interior;Santo Antônio do Pinhal;1515;10;;;
3548302;Interior;Santo Expedito;214;11;;;
3548401;Interior;Santópolis do Aguapeí;762;19;;;
3548500;Interior;Santos;81990;2613;;;
3548609;Interior;São Bento do Sapucaí;817;14;;;
3548708;RMSP (exceto capital);São Bernardo do Campo;77074;3783;;;
3548807;RMSP (exceto capital);São Caetano do Sul;33713;1145;;;
3548906;Interior;São Carlos;33955;626;;;
3549003;Interior;São Francisco;765;21;;;
3549102;Interior;São João da Boa Vista;22311;384;;;
3549201;Interior;São João das Duas Pontes;612;10;;;
3549250;Interior;São João de Iracema;867;10;;;
3549300;Interior;São João do Pau d'Alho;217;4;;;
3549409;Interior;São Joaquim da Barra;7426;178;;;
3549508;Interior;São José da Bela Vista;335;20;;;
3549607;Interior;São José do Barreiro;737;9;;;
3549706;Interior;São José do Rio Pardo;7081;178;;;
3549805;Interior;São José do Rio Preto;142503;3172;;;
3549904;Interior;São José dos Campos;126653;2305;;;
3549953;RMSP (exceto capital);São Lourenço da Serra;703;41;;;
3550001;Interior;São Luiz do Paraitinga;964;34;;;
3550100;Interior;São Manuel;6630;171;;;
3550209;Interior;São Miguel Arcanjo;4380;88;;;
3550308;Capital;São Paulo;1127975;44040;;;
3550407;Interior;São Pedro;9699;124;;;
3550506;Interior;São Pedro do Turvo;1014;15;;;
3550605;Interior;São Roque;7173;131;;;
3550704;Interior;São Sebastião;8768;198;;;
3550803;Interior;São Sebastião da Grama;2548;39;;;
3550902;Interior;São Simão;1681;38;;;
3551009;Interior;São Vicente;29056;1468;;;
3551108;Interior;Sarapuí;524;7;;;
3551207;Interior;Sarutaiá;149;22;;;
3551306;Interior;Sebastianópolis do Sul;313;10;;;
3551405;Interior;Serra Azul;1396;20;;;
3551504;Interior;Serrana;10294;144;;;
3551603;Interior;Serra Negra;6450;94;;;
3551702;Interior;Sertãozinho;20276;565;;;
3551801;Interior;Sete Barras;2839;47;;;
3551900;Interior;Severínia;2583;82;;;
3552007;Interior;Silveiras;561;11;;;
3552106;Interior;Socorro;5990;109;;;
3552205;Interior;Sorocaba;105279;3197;;;
3552304;Interior;Sud Mennucci;958;18;;;
3552403;Interior;Sumaré;38470;985;;;
